,character,line
80,ELENA," You haven't seen crazy, Jeremy! I gave you a summer pass, but I am done watching you destroy yourself. No, no, no, you know what? Go ahead. Keep it up. But just know that I am going to be there to ruin your buzz every time, you got it? Jeremy, I know who you are. And it's not this person. So don't be this person."
81,JEREMY, I don't need this.
82,STEFAN, Thank you.
83,SECRETARY, You're welcome.
84,STEFAN," Uh, pardon me. Um... Is this the men's room?"
85,ELENA," Yes. Um, I was just, Um--I was just-- It's a long story. Just... Thank you."
86,TEACHER," Once our home state of virginia joined confederacy in 1861, it created a tremendous amount of tension within the state. People in virginia's northwest region Had different ideals than those from the traditional deep south. Then Virginia divided in 1863 with the northwest region joining the union."
87,Texto to Bonnie from Elena , HAWT-E. STARING @ U.
88,ELENA," Dear diary, I made it through the day. I must have said, ""I'm fine, thanks,"" at least 37 times. And I didn't mean it once. But no one noticed. When someone asks, ""how are you?"" They really don't want an answer."
89,ELENA," Ok. Hi, bird. That's not creepy or anything. Shoo! That's what I thought."
90,ELENA, Ahh!
91,STEFAN, You ok?
92,ELENA, Were you following me?
93,STEFAN," No, I, uh, I just-- I saw you fall."
94,ELENA," Uh-Huh, and you just happened to be hanging out in a cemetery."
95,STEFAN, I'm visiting. I have family here.
96,ELENA," Oh. Wow. Tactless. I'm sorry. It's the fog, It's making me foggy. And then back there, there was this bird, and it was all very hitchcock for a second. That is the bird movie, right, the hitchcock? I'm Elena."
97,STEFAN, I'm Stefan.
98,ELENA, I know. We have history together.
99,STEFAN, And english and french.
100,ELENA, Right.
101,STEFAN, Oh.
102,ELENA, Thanks. Nice ring.
103,STEFAN," Oh. Um, It's a family ring, yeah. I'm kinda stuck with it. It's weird, huh?"
104,ELENA," No, no. It's just, I mean, there are rings and then there's that."
105,STEFAN, Did you hurt yourself?
106,ELENA, Hmm? 
107,STEFAN, Did you hurt yourself?
108,ELENA," Oh, uh, I don't know. Oh! Look at that. That is not pretty. You ok?"
109,STEFAN, You should go. Take care of that.
110,ELENA," Really, it's nothing."
111,STEFAN, I lost control today. Everything I've kept buried inside came rushing to the surface. I'm simply not able to resist her.
112,JEREMY, Hey.
113,VICKI, Working.
114,MATT," Thanks, vick."
115,VICKI, Do you need another refill?
116,TYLER, I'd love one.
117,MATT, Please tell me you're not hooking up with my sister.
118,TYLER, I'm not hooking up with your sister.
119,MATT, You're such a dick.
120,JEREMY," Hey, what's your deal? I mean, summer you act one way and then school starts and you can't be bothered."
121,VICKI," Look, Jeremy, I really appreciate all the pharmaceuticals, but you can't keep following me around like a lost puppy."
122,JEREMY, When's the last time you had sex with a puppy?
123,VICKI," Hey, keep it down. I don't want to tell the whole world I deflowered Elena's kid brother."
124,JEREMY," Yeah, and deflowered and deflowered."
125,VICKI, We hooked up a few times in a drug haze. It's over. You gotta back off between you ruin things between me and Tyler.
126,JEREMY," Oh, come on, the guy's a total douche. He only wants you for your ass."
127,VICKI, Yeah? What do you want me for?
128,CAROLINE," His name is Stefan Salvatore. He lives with uncle up at the old Salvatore boarding house. He hasn't lived here since he was a kid. Military family, so they moved around a lot. He's a gemini, and his favorite color is blue."
129,BONNIE, You got all of that in one day?
130,CAROLINE," Oh, please, I got all that between third and fourth period. We're planning a june wedding."
131,ELENA, I'm meeting Bonnie at the grill.
132,JENNA," Ok, have fun. Wait, I got this. Don't stay out late, it's a school night."
133,ELENA," Well done, aunt Jenna."
134,ELENA, Oh.
135,STEFAN," Sorry, I was about to knock. I wanted to apologize for my disappearing act earlier. I know it was... Strange."
136,ELENA," No worries. I get it, bl*od makes you squeamish."
137,STEFAN," Um, something like that. How's your leg?"
138,ELENA," Oh, it's fine. Just a scratch, barely. How did you know where I lived?"
139,STEFAN," It's a small town. I asked the first person I saw. Um, I thought you might want this back."
140,ELENA," Oh, I must have dropped it. I-- Thank you."
141,STEFAN," Don't worry, I didn't...read it."
142,ELENA, No? Why not? Most people would have.
143,STEFAN," Well, I wouldn't want anyone to read mine."
144,ELENA, You keep a journal?
145,STEFAN," Yeah, if I don't write it down, I forget it. Memories are too important."
146,ELENA," Yeah. I'm just gonna, Um, you don't have to stay out there."
147,STEFAN," I'm fine. Sorry, were you going somewhere?"
148,ELENA," Yeah, I'm meeting a friend. Do you want to come?"
149,MATTt,How's Elena doing?
150,BONNIE," Her mom and dad died. How do you think? She's putting on a good face, but it's only been four months."
151,MATT, Has she said anything about me?
152,BONNIE," Oh, no. So not getting in the middle. You pick up the phone and call her."
153,MATT, I feel weird calling her. She broke up with me.
154,BONNIE," Give it more time, Matt."
155,MATT," More time, huh?"
156,MATT," Hey, I'm Matt, nice to meet you."
157,STEFAN, Hi. Stefan.
158,ELENA, Hey.
159,MATT, Hey.
160,CAROLINE," So, you were born in mystic falls?"
161,STEFAN, Mm-Hmm. And moved when I was still young.
162,BONNIE, Parents?
163,STEFAN, My parents passed away.
164,ELENA, I'm sorry. Any siblings?
165,STEFAN, None that I talk to. I live with my uncle.
166,CAROLINE," So, Stefan, if you're new, then you don't know about the party tomorrow. "
167,BONNIE, It's a back to school thing at the falls.
168,STEFAN (to Elena), Are you going?
169,BONNIE, Of course she is.
170,ZACH, You promised. 
171,STEFAN, This was an animal attack. 
172,ZACH," Don't give me that. I know the game. You tear them up enough, they always suspect an animal attack. You said you had it under control."
173,STEFAN, And I do.
174,ZACH," Please, uncle Stefan. Mystic Falls is a different place now. It's been quiet for years, but there are people who still remember. And you being here, It's just going to stir things up."
175,STEFAN, It's not my intention.
176,ZACH," Then what is? Why did you come back? After all this time, why now?"
177,STEFAN, I don't have to explain myself.
178,ZACH, I know that you can't change what you are. But you don't belong here anymore.
179,STEFAN, Where do I belong?
180,ZACH, I can't tell you what to do. But coming back here was a mistake.
181,TEACHER, The battle of willow creek took place right at the end of the w*r in our very own Mystic Falls. How many casualties resulted in this battle? Ms. Bennett?
182,BONNIE, Um...a lot? I'm not sure. Like a whole lot.
183,TEACHER," Cute becomes dumb in an instant, Ms. Bennett. Mr. Donovan. Would you like to take this opportunity to overcome your embedded jock stereotype?"
184,MATT," It's ok, Mr Tanner, I'm cool with it."
185,TANNER, Hmm. Elena? Surely you can enlighten us about one of the town's most significantly historical events?
186,ELENA," I'm sorry, I-- I don't know."
187,TANNER,"I was willing to be lenient last year for obvious reasons, Elena. But the personal excuses ended with summer break."
188,STEFAN," There were 346 casualties, Unless you're counting local civilians."
189,TANNER, That's correct. Mister... 
190,STEFAN, Salvatore.
191,TANNER, Salvatore. Any relation to the original settlers here at mystic falls?
192,STEFAN, Distant.
193,TANNER," Well, very good. Except, of course, there were no civilian casualties in this battle."
194,STEFAN," Actually, there were 27, sir. Confederate soldiers, they fired on the church, believing it to be housing w*apon. They were wrong. It was a night of great loss. The founder's archives are, uh, stored in civil hall if you'd like to brush up on your facts. Mr. Tanner."
195,TANNER, hmm.
196,ELENA, People look up to me. I have to set an example.
197,BONNIE," Just admit it, Elena."
198,ELENA," Oh, ok, so he's a little pretty."
199,BONNIE, He has that romance novel stare. 
200,ELENA," Stefan looked deep into her eyes, piercing her very soul."
201,CAROLINE, Hey! You made it!
202,STEFAN, I did.
203,CAROLINE," Well, let's get you a drink."
204,STEFAN," Well, I'm--"
205,CAROLINE," Oh, come on."
206,BONNIE, So where is he?
207,ELENA," I don't know. You tell me, you're the psychic one."
208,BONNIE," Right, I forgot. Ok, so give me a sec. Grams says I have to concentrate."
209,ELENA," Wait, you need a crystal ball."
210,BONNIE, Ahh.
211,ELENA, What?
212,BONNIE," That was weird. When I touched you, I saw a crow."
213,ELENA, What?
214,BONNIE," A crow. There was fog, a man. I'm drunk. It's the drinking. There's nothing psychic about it. Yeah? Ok, I'm gonna get a refill."
215,ELENA, Ok. Bonnie!
216,STEFAN, Hi.
217,ELENA, Hi.
218,STEFAN," I did it again, didn't it?"
219,ELENA, Yeah.
220,STEFAN, I'm sorry. You're upset about something.
221,ELENA," Oh, uh, no, it's Bonnie. She's... You know what? Never mind. You're...here."
222,STEFAN, I'm here.
223,ELENA," You know, you're kind of the talk of the town."
224,STEFAN, Am I?
225,ELENA," Mm-Hmm. Mysterious new guy, oh, yeah."
226,STEFAN," Well, you have the mysterious thing going, too. Twinged in sadness."
227,ELENA, What makes you think that I'm sad?
228,STEFAN," Well, we did meet in a graveyard."
229,ELENA," Right. Well, no, technically we met in the men's room. You don't want to know, it's... It's not exactly party chit-Chat."
230,STEFAN," Well, I've never really been very good at, uh, Chit-chat."
231,ELENA," Last spring... My parents' car drove off of a bridge into the lake. And I was in the backseat and I survived, but... They didn't. So that's my story."
232,STEFAN," You won't be sad forever, Elena."
233,VICKI," No, Ty. I'm not having sex against a tree."
234,TYLER," Oh, come on, it would be hot."
235,VICKI," For who? No, it's not going to happen. It's not going to happen, not here, not like this. No. I said no. I said no! Ow, that hurts!"
236,JEREMY," Hey, leave her alone."
237,TYLER," You know, you're starting to get on my nerves, Gilbert."
238,VICKI," Just go, Tyler, get the hell away from me."
239,TYLER, Wow. Vicki donovan says no. That's a first.
240,VICKI, I didn't need your help.
241,JEREMY, It seems like you did.
242,VICKI, He was just drunk. 
243,JEREMY, I'm drunk. Am I throwing myself at you?
244,VICKI," No, you're worse. You want to talk to me, get to know me, see into my soul and screw and screw and screw until you're done with me."
245,JEREMY, Is that what you think?
246,VICKI, That's what I know.
247,STEFAN," I like Bonnie, she seems like a good friend."
248,ELENA, Best friend in the world.
249,STEFAN," And Matt, he can't seem to, uh, take his eyes off of us."
250,ELENA, Matt's that friend since childhood that you start dating because you owe it to yourselves to see if you can be more.
251,STEFAN, And?
252,ELENA," And then my parents died, and everything changes. Anyway, Matt and I, together we just, I don't know, It wasn't, um... It wasn't..."
253,STEFAN, Passionate.
254,ELENA," No. No, it wasn't passionate... Hey, um, are you ok? Um, Your eye, it just, it's--"
255,STEFAN," Oh, um... Yeah, no. It's, um, it's nothing. Um, are you thirsty? I'm gonna get us a drink."
256,VICKI, Jeremy? Is that you? Jeremy? 
257,MATT, Looking for someone?
258,ELENA, Hey. 
259,MATT," When you broke up with me, you said it was because you needed some time alone. You don't look so alone to me."
260,ELENA," Matt, you don't understand. It's--"
261,MATT," That's ok, Elena. You do what you have to do. I just want to let you know that... I still believe in us. And I'm not giving up on that."
262,ELENA, Matt...
263,CAROLINE, Hey! There you are. Have you been down to the falls yet? Because they are really cool at night. And I can show you. If you want.
264,STEFAN, I think you've had too much to drink.
265,CAROLINE," Well, of course I have. So--"
266,STEFAN," Caroline. You and me, it's not gonna happen. Sorry."
267,ELENA," I was wondering who abducted you, but now I know."
268,STEFAN," Is she like that with, uh, all the guys?"
269,ELENA," No. You're fresh meat. She'll back off eventually. Hmm. God, you gotta be kidding me!"
270,STEFAN, What is it?
271,ELENA, My brother.
272,STEFAN, The drunk one?
273,ELENA, That would be the one. Excuse me.
274,STEFAN, Need some help?
275,ELENA," Trust me, you're not going to want to witness this. Jeremy! Jeremy!"
276,ELENA," Jeremy, where the hell are you going?"
277,JEREMY, I don't want to hear it!
278,ELENA," Yeah, well, too bad!"
279,JEREMY," Vicki? No! Oh, my god, it's Vicki!"
280,ELENA," Oh, my god!"
281,JEREMY, No!
282,ELENA, Somebody help!
283,MATT," Vicki? Vicki, what the hell?!"
284,TYLER, What happened to her?
285,MATT," Somebody, call an ambulance!"
286,TYLER," Everybody back up, give her some space!"
287,ELENA, It's her neck. Something bit her. She's losing a lot of bl*od.
288,SOMEONE, Put this on her neck.
289,MATT," Vicki, Vicki, come on, open your eyes, look at me."
290,ZACH, What's going on?
291,STEFAN," Someone else was attacked tonight, Zach, and it wasn't me."
292,STEFAN, Damon.
293,DAMON," Hello, brother."
294,STEFAN," Crow's a bit much, don't you think?"
295,DAMON, Wait till you see what I can do with the fog.
296,STEFAN, When'd you get here?
297,DAMON," Well, I couldn't miss your first day at school. Your hair's different. I like it."
298,STEFAN," It's been 15 years, Damon."
299,DAMON," Thank god. I couldn't take another day of the nineties. That horrible grunge look? Did not suit you. Remember, Stefan, it's important to stay away from fads."
300,STEFAN, Why are you here?
301,DAMON, I miss my little brother.
302,STEFAN, You hate small towns. It's boring. There's nothing for you to do.
303,DAMON, I've managed to keep myself busy. 
304,STEFAN," You know, you left that girl alive tonight. That's very clumsy of you."
305,DAMON, Ah. That can be a problem... for you.
306,STEFAN, Why are you here now?
307,DAMON," I could ask you the same question. However, I'm fairly certain your answer can be summed up all into one little word... Elena."
308,BONNIE," Hey. We're gonna go mainline coffee, wait for news."
309,ELENA, I gotta take Jeremy home.
310,BONNIE," Elena, there's no way I'm psychic. I know that. But whatever I saw, or I think I saw, I have this feeling..."
311,ELENA," Bonnie, what?"
312,BONNIE, That it's just the beginning.
313,DAMON," She took my breath away. Elena. She's a dead ringer for Katherine. Is it working, Stefan? Being around her, being in her world? Does it make you feel alive?"
314,STEFAN, She's not Katherine.
315,DAMON," Well, let's hope not. We both know how that ended. Tell me something, when's the last time you had something stronger than a squirrel?"
316,STEFAN," I know what you're doing, Damon. It's not gonna work."
317,DAMON, Yeah? Come on. Don't you crave a little?
318,STEFAN, Stop it.
319,DAMON," Let's do it. Together. I saw a couple girls out there. Or just, let's just cut to the chase, let's just go straight for Elena!"
320,STEFAN, Stop it!
321,DAMON, Imagine what her bl*od tastes like!
322,DAMON, I can.
323,STEFAN, I said stop!
324,DAMON," I was impressed. I give it a six. Missing style, but I was pleasantly surprised. Very good with the whole face--- thing. It was good."
325,STEFAN," You know, it's all fun and games, Damon, huh? But wherever you go, people die."
326,DAMON, That's a given.
327,STEFAN, Not here. I won't allow it.
328,DAMON, I take that as an invitation.
329,STEFAN," Damon, please. After all these years, can't we just give it a rest? "
330,DAMON," I promised you an eternity of misery, so I'm just keeping my word."
331,STEFAN, Just stay away from Elena.
332,DAMON," Where's your ring? Oh, yeah, sun's coming up in a couple of hours, and, poof, ashes to ashes. Relax. It's right here."
333,DAMON," You should know better than to think you're stronger than me. You lost that fight when you stopped feeding on people. I wouldn't try it again. I think we woke Zach up. Hmm. Sorry, Zach."
334,ELENA," You ok? I called Jenna, she's on her way. Those people in uniforms, last time I checked, they're the police."
335,ELENA," People are going to stop giving you breaks, Jer. They just don't care anymore. They don't remember that our parents are dead, because they've got their own lives to deal with. The rest of the world has moved on. You should try, too."
336,JEREMY, I've seen you in the cemetery writing in your diary. Is that--Is that supposed to be you moving on?
337,ELENA, Mom and dad wouldn't have wanted this.
338,BONNIE, Are you sober yet?
339,CAROLINE, No. 
340,BONNIE, Keep drinking. I gotta get you home. I gotta get me home.
341,CAROLINE," Why didn't he go for me? You know, how come the guys that I want never want me?"
342,BONNIE, I'm not touching that.
343,CAROLINE," I'm inappropriate. I always say the wrong thing. And... Elena always says the right thing. She doesn't even try! And he just picks her. And she's always the one that everyone picks, for everything. And I try so hard, and... I'm never the one."
344,BONNIE," It's not a competition, Caroline."
345,CAROLINE," Yeah, it is."
346,MATT," Vicki... Hey. Hey, it's ok. You're gonna be ok."
347,VICKI, Matt--
348,MATT," Hey, don't try to talk, ok? You're fine."
349,VICKI, Vampire.
350,ELENA," Dear diary, I couldn't have been more wrong. I thought that I could smile, nod my way through it; pretend like it would all be ok."
351,STEFAN," I had a plan. I wanted to change who I was; create a life as someone new, someone without the past."
352,ELENA, Without the pain.
353,ELENA & STEFAN, Someone alive.
354,ELENA, But it's not that easy. The bad things stay with you.
355,STEFAN, They follow you.
356,STEFAN," You can't escape them, as much as you want to."
357,ELENA," All you can do is be ready for the good. So when it comes, you invite it in, because you need it. I need it."
358,STEFAN," I know it's late. But, uh... I needed to know that you were ok."
359,ELENA," You know, for months, that's all anyone's wondered about me. If I'll be ok."
360,STEFAN, What do you tell them?
361,ELENA, That I'll be fine.
362,STEFAN, Do you ever mean it?
363,ELENA, Ask me tomorrow. It's warmer in the house. We can talk. Would you like to come in?
364,STEFAN, Yes.
365,GIRL, Hey. Did you hear that?
366,BOY, Hear what?
367,GIRL, I heard thunder.
368,BOY, There's no thunder.
369,GIRL," Are you sure? Because if it rains, then we won't be able to see the comet."
370,BOY," It's not gonna rain. Listen, i... Got you a little something. It's back in the car. Don't you move."
371,GIRL, Stay dry.
372,BOY, It's not gonna rain.
373,GIRL, I knew it! I told you it was gonna rain!
374,GIRL, Open! No! Please!
375,ELENA," Dear diary, this morning is... different. There is change. I can sense it, feel it."
376,STEFAN," I'm awake. For the first time in a long time, I feel completely and undeniably wide awake. "
377,ELENA," For once, I don't regret the day before it begins."
378,STEFAN, I welcome the day...
379,STEFAN/ELENA, Because I know...
380,STEFAN, I will see her again.
381,ELENA," I will see him again. For the first time in a long time, I feel good."
382,JENNA, Do I look adult? As in respectfully parental?
383,ELENA, Depends where you're going.
384,JENNA, Jeremy's parent-teacher conference. Hair up or down?
385,ELENA, Sexy stewardess. Boozy housewife.
386,JENNA, Up it is. You're feisty today.
387,ELENA," I feel good, which is rare. So I've decided to go with it. Fly free, walk on sunshine, and all that stuff. Where is Jeremy?"
388,JENNA," He left early. Something about getting to wood shop early to finish a birdhouse. There is no wood shop, is there?"
389,ELENA, No.
390,JENNA, Yeah.
391,NURSE," You can't be in here, hon. Visiting hours don't start till 9:00."
392,JEREMY, I just... How is she?
393,NURSE, She's lost a lot of bl*od.
394,JEREMY," Yeah, but she's gonna be ok, right?"
395,NURSE, She needs her rest. So you come back later. Come on.
396,TANNER," Originally discovered nearly 5 centuries ago, it hasn't been over Mystic Falls in over 145 years. Now, the comet will be its brightest right after dusk during tomorrow's celebration. Are we bothering you, Mr. Salvatore? Ms. Gilbert?"
397,STEFAN, I brought it. Told you.
398,ELENA," ""Wuthering Heights"" by Ellis Bell. You know, I can't believe she didn't use her real name."
399,STEFAN, All the Bronte sisters used pseudonyms. It was the time. Female writers weren't very accepted then.
400,ELENA, Where did you get it?
401,STEFAN," Uh, it was passed down. Through the family."
402,ELENA, Ah.
403,STEFAN, I have lots of books. Go ahead. Keep it.
404,ELENA," Oh, no. I... But I would like to read it again. I promise I'll give it back."
405,STEFAN, Ok.
406,CAROLINE, I'm confused. Are you psychic or clairvoyant?
407,BONNIE," Technically, grams says I'm a witch. My ancestors were these really cool Salem witch chicks or something.Grams tried to explain it all, but she was looped on the liquor so I kinda tuned out. Crazy family, yes. Witches? I don't think so."
408,CAROLINE," Yeah, well, feel free to conjure up the name and number of that guy from last night."
409,BONNIE," I didn't see him, you did. Why didn't you just talk to him?"
410,CAROLINE, I don't know. I was drunk.
411,JEREMY," Hey, Tyler. Hey, I'm sorry to interrupt. I was just wondering how Vicki's doing, since you guys are so close. Is she ok?"
412,TYLER, She's fine. Now get out of here.
413,JEREMY, How bad is she? Do they know what attacked her? Is she going to make a full recovery? Was she happy to see you? What room number was she in?
414,TYLER, I'm going to kick your ass.
415,JEREMY," Yeah, you keep saying that, but when are you actually going to do it? Huh? 'Cause I vote for right here and right now."
416,TYLER," Walk away, Gilbert. It's your final warning."
417,JEREMY," No, this is your final warning, dick. I'm sick of watching you play Vicki. You hurt herne more time, I swear to God, I will k*ll you. "
418,TYLER," Damn, that was like a death threat. Did you hear that?"
419,MATT," They're keeping her overnight to make sure there's no infection, but she should be able to come home tomorrow."
420,ELENA, That's good news.
421,MATT, Yeah.
422,ELENA, Did you get in touch with your mom?
423,MATT," Called and left a message. She's in Virginia Beach with her boyfriend, so... we'll see how long it takes her to come rushing home."
424,ELENA, Vicki's lucky that she's ok.
425,MATT," I know, and now there's talk of some missing campers."
426,ELENA, Did she say what kind of animal it was that attacked her?
427,MATT, She said it was a vampire.
428,ELENA, What?
429,MATT," Yeah, she wakes up last night and mutters ""vampire"" and then passes out."
430,ELENA," Ok, that is weird."
431,MATT, I think she was drunk. So what's up with you and the new guy?
432,ELENA," Matt, the last thing that I want to do is hurt you."
433,MATT," You know, I'm... I'm actually gonna go back to the hospital. I want to be there when Vickie wakes up, get the real story about last night."
434,ELENA, Ok.
435,TANNER," As Jeremy's teacher, I'm concerned. All right? It's the third day of school and he's skipped six of his classes."
436,JENNA," Mr. Tanner, are you aware that Jeremy and Elena's parents died?"
437,TANNER," Four months ago, a great loss. Car accident. Wickery bridge, if I remember correctly. And you're related to the family how? The, uh, mother's kid sister?"
438,JENNA, Younger sister.
439,TANNER, Right.
440,JENNA," Yes. Six classes? Are you sure? I mean, that's kind of hard to do."
441,TANNER," Not when you're on drugs. It's his attempt at coping, Ms. Summers. And the signs are there. He's moody, withdrawn, argumentative, hungover. Are there any other relatives in the picture?"
442,JENNA, I'm their sole guardian.
443,TANNER, Uh-huh. Could there be?
444,JENNA," What are you suggesting, exactly?"
445,TANNER," It's an impossible job, isn't it, raising two teens?"
446,JENNA," It's been tough, but, no, it's not."
447,TANNER," Wrong answer. It is an extremely impossible job, and anything less and you're not doing it properly."
448,MATT," Whoa! Vick. Vicki, hey. Vick, it's Matt. Hey, what's wrong?"
449,VICKI, No! No! Get off! No! No! No!
450,STEFAN, It was an animal that attacked you. It came out of the night and jumped you. You blacked out. It's all you remember.
451,VICKI, It's all I remember.
452,STEFAN, An animal attacked you. You blacked out. It's all you remember. It's all I remember.
453,MATT, Nurse! I need help! It's my sister.
454,NURSE, She seems fine.
455,BONNIE," Well, I was talking to grams, and she said the comet is a sign of impending doom. The last time it passed over Mystic Falls, there was lots of death. So much bl*od and carnage, it created a bed of paranormal activity."
456,CAROLINE," Yeah, and then you poured grams another sh*t and she told you about the aliens. So then what?"
457,ELENA, So then nothing.
458,CAROLINE, You and Stefan talked all night? There was no sloppy first kiss or touchy feely of any kind?
459,ELENA, Nope. We didn't go there.
460,CAROLINE," Not even a handshake? I mean, Elena, we are your friends. Ok? You are supposed to share the smut."
461,ELENA, We just talked for hours.
462,CAROLINE," Ok, what is with the blockage? Just jump his bones already! Ok, it's easy. Boy likes girl, girl likes boy, sex."
463,ELENA, Profound.
464,BONNIE, Where are you going?
465,ELENA," Caroline's right. It is easy. If I sit here long enough, I'll end up talking myself out of it instead of doing what I started the day saying I was going to do."
466,JENNA, I picked up dinner. Tacos. I had an urge for guacamole.
467,JEREMY," No, I'm good, thanks."
468,JENNA," Eat anyway. It's a ruse. I want to talk. Hey, you! Come. Sit. Back in school, freshman year, I could eat my weight in nachos, with extra cheese. It was my munchie food whenever I got stoned."
469,JEREMY, You get high?
470,JENNA," Did. Past tense. But, yeah. Loved it. Anything to get a little distraction from life... reality. And it worked. For a while. Never lasts, though. Hey, I'm not saying I wouldn't love to rail back and kick it, but with a thesis looming and a waistline expanding..."
471,MATT, What the... 
472,VICKI, Finally you're awake.
473,MATT, Hey. How are you feeling? You look better. I was worried before. You really had me freaked out with all that screaming.
474,VICKI," Wait, what are you talking about?"
475,MATT, You don't remember?
476,VICKI, I feel fine.
477,MATT," Good, good. Doctor said you could come home tomorrow. Vick, what attacked you in the woods?"
478,VICKI, An animal. What else could it have been?
479,JEREMY, Hey. How do you feel?
480,VICKI, I'm ok.
481,MATT," I... I'm gonna... I'm gonna go grab a coffee. Hey, Jer."
482,VICKI, Why are you here?
483,JEREMY, I just wanted to see how you were doing.
484,VICKI," Did you see that look on Matt's face? That was suspicion. I don't want people to find out about us, Jeremy."
485,JEREMY," Well, you gotta get over that."
486,VICKI, Tyler is finally showing some interest.
487,JEREMY," You have to get over that, too. Do you see Mr. Concerned? Tyler? Are you under there? No."
488,VICKI," It's not cool for people to know. Ok? I'm older than you, and Matt and Elena would freak."
489,JEREMY," No one's going to suspect anything. Why wouldn't I check on you? I mean, I'm the one who found you."
490,VICKI, You are?
491,JEREMY," Yeah, I carried you out of the woods."
492,VICKI, Thank you.
493,JEREMY," Yeah, you're welcome."
494,ELENA, Stefan? Stefan?
